ticket_id,customer_id,ticket_date,issue_type,resolution_days
4658,1427,2022-03-28,Subscription Change,7
4659,1430,2023-10-26,Technical Problem,1
4660,1430,2022-05-28,Subscription Change,1
4661,1431,2023-01-01,Login Issue,3
4662,1431,2023-02-03,Payment Failure,3
4663,1431,2023-06-24,Technical Problem,3
4664,1432,2024-02-12,Login Issue,10
4665,1432,2024-09-18,Login Issue,8
4666,1434,2022-11-25,Billing,2
4667,1434,2024-08-20,Login Issue,1
4668,1435,2022-06-18,Payment Failure,1
4669,1435,2022-04-29,Login Issue,2
4670,1435,2022-05-29,Login Issue,3
4671,1436,2023-01-09,Login Issue,1
4672,1436,2022-06-09,Subscription Change,3
4673,1436,2023-06-07,Payment Failure,2
4674,1437,2024-07-24,Billing,2
4675,1437,2023-05-03,Billing,3
4676,1438,2024-09-11,Payment Failure,2
4677,1439,2023-02-18,Payment Failure,1
4678,1440,2023-11-17,Technical Problem,1
4679,1440,2022-05-02,Subscription Change,2
4680,1440,2024-02-19,Billing,1
4681,1441,2022-05-29,Login Issue,1
4682,1441,2022-10-29,Subscription Change,2
4683,1442,2022-07-22,Payment Failure,2
4684,1442,2023-06-18,Technical Problem,1
4685,1444,2023-06-25,Login Issue,1
4686,1445,2022-10-10,Payment Failure,2
4687,1445,2022-03-29,Technical Problem,1
4688,1446,2023-02-25,Technical Problem,9
4689,1448,2023-12-04,Technical Problem,2
4690,1448,2022-01-23,Technical Problem,1
4691,1448,2022-05-16,Payment Failure,2
4692,1449,2023-05-30,Billing,1
4693,1450,2024-05-23,Technical Problem,2
4694,1450,2023-04-18,Technical Problem,2
4695,1450,2022-10-29,Subscription Change,3
4696,1451,2024-12-25,Technical Problem,1
4697,1451,2023-05-15,Subscription Change,2
4698,1452,2022-11-10,Login Issue,2
4699,1453,2024-11-03,Billing,1
4700,1453,2024-11-09,Login Issue,3
4701,1453,2024-10-11,Technical Problem,2
4702,1454,2023-11-29,Technical Problem,3
4703,1454,2024-11-09,Subscription Change,2
4704,1454,2024-04-01,Technical Problem,3
4705,1456,2022-07-07,Payment Failure,5
4706,1458,2023-08-06,Billing,1
4707,1458,2022-12-02,Technical Problem,2
4708,1458,2024-06-18,Payment Failure,2
4709,1459,2023-08-17,Login Issue,7
4710,1459,2022-03-01,Payment Failure,7
4711,1459,2022-07-30,Billing,10
4712,1460,2023-06-26,Subscription Change,2
4713,1460,2024-07-15,Subscription Change,3
4714,1460,2024-01-10,Subscription Change,2
4715,1461,2023-04-26,Billing,2
4716,1461,2024-02-02,Payment Failure,3
4717,1462,2024-10-16,Technical Problem,2
4718,1462,2022-06-10,Subscription Change,1
4719,1463,2023-10-22,Payment Failure,3
4720,1464,2022-03-16,Payment Failure,3
4721,1464,2023-08-25,Billing,1
4722,1466,2022-05-18,Subscription Change,2
4723,1466,2024-08-30,Technical Problem,3
4724,1466,2022-09-11,Billing,2
4725,1468,2023-07-17,Billing,1
4726,1469,2023-07-01,Login Issue,2
4727,1469,2023-08-04,Login Issue,1
4728,1470,2022-02-18,Subscription Change,1
4729,1470,2023-12-05,Login Issue,1
4730,1470,2023-09-30,Payment Failure,3
4731,1471,2024-07-19,Login Issue,5
4732,1471,2023-09-04,Billing,10
4733,1473,2022-07-07,Payment Failure,1
4734,1474,2024-09-11,Payment Failure,1
4735,1474,2023-09-10,Payment Failure,2
4736,1475,2024-06-21,Payment Failure,7
4737,1476,2022-09-27,Payment Failure,2
4738,1476,2022-07-24,Login Issue,2
4739,1477,2023-08-19,Billing,2
4740,1477,2024-05-24,Login Issue,1
4741,1477,2022-07-15,Subscription Change,2
4742,1479,2023-11-03,Login Issue,3
4743,1479,2024-08-01,Payment Failure,3
4744,1481,2023-05-07,Login Issue,2
4745,1484,2024-09-10,Subscription Change,5
4746,1485,2024-05-02,Technical Problem,1
4747,1485,2023-03-01,Subscription Change,1
4748,1486,2024-06-13,Subscription Change,2
4749,1488,2023-08-16,Billing,1
4750,1488,2022-01-28,Subscription Change,2
4751,1489,2023-02-27,Billing,2
4752,1489,2023-06-13,Billing,2
4753,1490,2024-04-21,Login Issue,1
4754,1492,2024-12-25,Billing,2
4755,1493,2023-09-29,Technical Problem,3
4756,1494,2022-12-10,Payment Failure,3
4757,1495,2023-07-25,Payment Failure,6
4758,1495,2022-08-31,Technical Problem,5
4759,1495,2023-06-16,Subscription Change,6
4760,1496,2024-06-02,Payment Failure,2
4761,1496,2022-03-20,Subscription Change,2
4762,1497,2024-02-21,Payment Failure,3
4763,1497,2024-09-27,Subscription Change,2
4764,1497,2024-11-15,Payment Failure,1
4765,1498,2024-12-03,Login Issue,1
4766,1498,2024-10-08,Login Issue,3
4767,1499,2023-08-24,Payment Failure,3
4768,1500,2023-12-10,Technical Problem,3
